Video,start_jump_1,end_jump_1,start_jump_2,end_jump_2
Flip_1,116,123,None,None
Flip_2,182,190,None,None
Flip_3,79,86,None,None
Flip_4,66,74,None,None
Flip_5,42,52,None,None
Flip_6,53,62,None,None
Flip_7,29,39,None,None
Flip_8,65,75,None,None
Flip_9,75,84,None,None
Flip_10,72,81,None,None
Flip_11,69,79,None,None
Flip_12,41,49,None,None
Flip_13,30,37,None,None
Flip_14,72,80,None,None
Flip_15,69,77,None,None
Flip_16,265,273,None,None
Flip_17,79,86,None,None
Flip_18,112,120,None,None
Flip_19,96,104,None,None
Flip_20,57,64,None,None
Flip_21,17,24,None,None
Flip_22,57,65,None,None
Flip_23,72,80,None,None
Flip_24,76,83,None,None
Flip_25,68,76,None,None
Flip_26,49,58,None,None
Flip_27,53,60,None,None
Flip_28,71,79,None,None
Flip_29,48,56,None,None
Flip_30,40,48,None,None
Flip_31,44,52,None,None
Flip_32,78,86,None,None
Flip_33,36,44,None,None
Flip_34,63,72,None,None
Flip_35,79,87,None,None
Flip_36,45,54,None,None
Flip_37,68,75,None,None
Flip_38,48,57,None,None
Flip_39,50,58,None,None
Flip_40,29,37,None,None
Flip_41,75,84,None,None
Flip_42,74,83,None,None
Flip_43,40,47,None,None
Flip_44,38,47,None,None
Flip_45,71,80,None,None
Flip_46,90,97,None,None
Flip_47,215,224,None,None
Flip_48,122,129,None,None
Flip_49,67,76,None,None
Flip_50,97,107,None,None
Flip_51,50,59,None,None
Flip_52,50,59,None,None
Flip_53,56,64,None,None
Flip_54,503,511,None,None
Flip_55,42,50,None,None
Flip_56,109,117,None,None
Flip_57,77,85,None,None
Flip_58,56,64,None,None
Flip_59,95,102,None,None
Flip_60,46,54,None,None
Flip_61,71,78,None,None
Flip_62,55,62,None,None
Flip_63,48,56,None,None
Flip_64,61,67,None,None
Flip_65,78,86,None,None
Flip_66,69,77,None,None
Flip_67,85,93,None,None
Flip_68,75,82,None,None
Flip_69,59,67,None,None
Flip_70,43,52,None,None
Flip_71,64,72,None,None
Flip_72,79,87,None,None
Flip_73,71,78,None,None
Flip_74,64,72,None,None
Flip_75,80,90,None,None
Flip_76,82,90,None,None
Flip_77,40,48,None,None
Flip_78,17,25,None,None
Flip_79,22,30,None,None
Flip_80,7,35,None,None
Flip_81,67,75,None,None
Flip_82,65,72,None,None
Flip_83,56,65,None,None
Flip_84,65,74,None,None
Flip_85,55,63,None,None
Flip_86,75,84,None,None
Flip_87,63,70,None,None
Flip_88,66,74,None,None
Flip_89,45,53,None,None
Flip_90,39,48,None,None
Flip_91,22,31,None,None
Flip_92,32,42,None,None
Flip_93,53,63,None,None
Flip_94,37,46,None,None
Flip_95,44,54,None,None
Flip_96,57,67,None,None
Flip_97,53,64,None,None
Flip_98,56,66,None,None
Flip_99,62,72,None,None
Flip_100,54,63,None,None
Flip_101,57,68,None,None
Flip_102,53,64,None,None
Flip_103,46,56,None,None
Flip_104,52,64,None,None
Flip_105,68,78,None,None
Flip_106,82,93,None,None
Flip_107,64,75,None,None
Flip_108,75,85,None,None
Flip_109,69,80,None,None
Flip_110,86,97,None,None
Flip_111,35,46,None,None
Flip_112,75,87,None,None
Flip_113,29,40,None,None
Flip_114,94,103,None,None
Flip_115,43,52,None,None
Flip_116,76,86,None,None
Flip_117,55,64,None,None
Flip_118,49,59,None,None
Flip_119,47,57,None,None
Flip_120,41,52,None,None
Flip_121,33,44,None,None
Flip_122,54,64,None,None
