Video,start_jump_1,end_jump_1,start_jump_2,end_jump_2
Loop_1,8,17,None,None
Loop_2,21,29,None,None
Loop_3,33,41,None,None
Loop_4,26,35,None,None
Loop_5,45,54,None,None
Loop_6,70,79,None,None
Loop_7,126,136,None,None
Loop_8,59,68,None,None
Loop_9,46,54,None,None
Loop_10,60,69,None,None
Loop_12,49,58,None,None
Loop_13,115,123,None,None
Loop_14,26,35,None,None
Loop_15,79,87,None,None
Loop_16,71,81,None,None
Loop_17,99,108,None,None
Loop_18,50,60,None,None
Loop_19,58,68,None,None
Loop_20,62,71,None,None
Loop_21,68,77,None,None
Loop_22,52,61,None,None
Loop_23,65,73,None,None
Loop_24,68,76,None,None
Loop_25,90,100,None,None
Loop_26,94,102,None,None
Loop_27,116,124,None,None
Loop_28,50,59,None,None
Loop_29,71,80,None,None
Loop_30,87,95,None,None
Loop_31,89,98,None,None
Loop_32,75,85,None,None
Loop_33,33,41,None,None
Loop_34,59,68,None,None
Loop_35,45,52,None,None
Loop_36,55,65,None,None
Loop_37,99,109,None,None
Loop_38,91,101,None,None
Loop_39,38,47,None,None
Loop_40,45,55,None,None
Loop_41,43,53,None,None
Loop_42,35,45,None,None
Loop_43,19,29,None,None
Loop_44,52,61,None,None
Loop_45,63,73,None,None
Loop_46,36,45,None,None
Loop_47,82,89,None,None
Loop_48,72,81,None,None
Loop_49,68,78,None,None
Loop_50,26,36,None,None
Loop_51,68,78,None,None
Loop_52,127,136,None,None
Loop_53,67,75,None,None
Loop_54,58,67,None,None
Loop_55,31,40,None,None
Loop_56,37,46,None,None
Loop_57,44,52,None,None
Loop_58,37,46,None,None
Loop_59,57,65,None,None
Loop_60,79,87,None,None
Loop_61,90,99,None,None
Loop_62,103,113,None,None
Loop_63,79,88,None,None
Loop_64,55,65,None,None
Loop_66,49,56,None,None
Loop_67,80,89,None,None
Loop_68,97,104,None,None
Loop_69,110,117,None,None
Loop_70,83,90,None,None
Loop_71,113,120,None,None
Loop_72,76,83,None,None
Loop_73,91,98,None,None
Loop_74,107,115,None,None
Loop_75,84,91,None,None
Loop_76,72,79,None,None
Loop_77,69,76,None,None
Loop_78,66,74,None,None
Loop_79,26,33,None,None
Loop_80,50,56,None,None
Loop_81,38,46,None,None
Loop_82,64,71,None,None
Loop_83,46,53,None,None
Loop_84,52,60,None,None
Loop_85,45,52,None,None
Loop_86,47,55,None,None
Loop_87,23,31,None,None
Loop_88,15,21,None,None
Loop_89,54,62,None,None
Loop_90,62,69,None,None
Loop_91,48,55,None,None
Loop_92,103,111,None,None
Loop_93,92,100,None,None
Loop_94,84,91,None,None
Loop_95,83,91,None,None
Loop_96,54,61,None,None
Loop_97,60,68,None,None
Loop_98,86,94,None,None
Loop_99,48,57,None,None
Loop_100,53,61,None,None
Loop_101,48,56,None,None
Loop_102,44,53,None,None
Loop_103,56,66,None,None
Loop_104,137,142,None,None
Loop_105,49,56,None,None
Loop_106,45,52,None,None
Loop_107,79,87,None,None
Loop_108,54,62,None,None
Loop_109,53,62,None,None
Loop_110,41,52,None,None
Loop_111,61,70,None,None
Loop_112,99,106,None,None
Loop_113,77,86,None,None
Loop_114,59,68,None,None
Loop_115,65,76,None,None
Loop_116,56,65,None,None
Loop_117,69,78,None,None
Loop_118,48,58,None,None
Loop_119,50,59,None,None
Loop_120,35,44,None,None
Loop_121,58,68,None,None
Loop_122,62,71,None,None
Loop_123,38,48,None,None
Loop_124,51,60,None,None
Loop_125,67,76,None,None
Loop_126,54,62,None,None
Loop_127,60,70,None,None
Loop_128,39,48,None,None
Loop_129,59,69,None,None
Loop_130,33,41,None,None
Loop_131,48,56,None,None
Loop_132,64,70,None,None
Loop_133,62,70,None,None
Loop_134,22,30,None,None
Loop_135,51,60,None,None
Loop_136,17,26,None,None
Loop_137,59,69,None,None
Loop_138,83,95,None,None
Loop_139,67,78,None,None
Loop_140,48,59,None,None
Loop_141,54,64,None,None
Loop_142,72,83,None,None
Loop_143,51,59,None,None
Loop_144,81,89,None,None
Loop_145,45,56,None,None
Loop_146,46,56,None,None
Loop_147,50,63,None,None
Loop_148,59,70,None,None
Loop_149,31,42,None,None
Loop_150,31,42,None,None
Loop_151,66,77,None,None
Loop_152,50,61,None,None
Loop_153,69,80,None,None
Loop_154,41,52,None,None
Loop_155,37,48,None,None
Loop_156,34,45,None,None
Loop_157,49,59,None,None
Loop_158,40,51,None,None
Loop_159,68,78,None,None
Loop_160,40,51,None,None
Loop_161,42,51,None,None
Loop_162,32,43,None,None
Loop_163,54,66,None,None
Loop_164,42,53,None,None
Loop_165,51,61,None,None
Loop_166,50,61,None,None
Loop_167,74,84,None,None
Loop_168,111,121,None,None
Loop_169,116,126,None,None
Loop_170,40,50,None,None
Loop_171,92,101,None,None
Loop_172,95,106,None,None
Loop_173,92,103,None,None
Loop_175,79,88,None,None
Loop_176,64,74,None,None
Loop_177,80,89,None,None
Loop_178,55,65,None,None
Loop_179,70,80,None,None
Loop_180,57,67,None,None
Loop_181,91,101,None,None
Loop_182,67,78,None,None
Loop_183,57,69,None,None
Loop_184,50,61,None,None
Loop_185,74,85,None,None
Loop_186,43,55,None,None
Loop_187,57,68,None,None
Loop_188,43,54,None,None
Loop_189,44,54,None,None
Loop_190,73,83,None,None
Loop_191,99,108,None,None
Loop_192,63,73,None,None
Loop_193,74,85,None,None
